Protein,ClanGV,EpapGV,PiraGV,SfGV
Granulin,1,1,1,1
PEP1,1,1,1,1
PEP2,1,1,1,1
P10,0,0,1,1
PEP/P10,1,1,1,1
ODV-E18,1,1,0,1
ODV-E25,1,1,0,1
ODV-E66a,0,1,1,1
ODV-E66b,0,0,1,0
P33,1,1,1,1
PIF0,1,1,1,1
PIF1,1,1,1,1
PIF2,1,1,1,1
PIF3,1,0,1,1
PIF4,1,1,1,1
PIF5,1,1,1,1
PIF6,1,1,1,1
PIF8,1,1,1,1
AC75,1,1,1,1
Ac78,1,1,1,1
Ac81,1,1,0,1
Ac110,1,1,0,0
GP41,1,1,1,1
F-protein,0,1,1,0
P78/83,1,1,1,1
VP39,1,1,1,1
p6.9,1,1,1,1
P40,1,0,1,1
P48/45,1,1,1,1
Ac142,1,1,1,1
ODV-EC43,1,1,1,1
P24,1,1,0,1
ODV-EC27,1,1,1,1
VLF-1,1,1,1,1
38K,1,1,1,1
VP1054,1,1,1,1
P18,0,1,0,1
ME53,1,1,1,1
PK1,1,1,0,1
FP25K,1,1,0,1
P12,0,0,1,1
Desmoplakin,0,0,0,1
v-Ubi,1,1,1,1
SOD,1,1,0,1
DNA Pol,0,1,1,0
DNA Ligase,0,1,0,0
LEF3,0,0,1,0
LEF5,1,0,0,0
LEF6,1,1,0,0
LEF8,1,0,0,0
LEF9,1,0,0,0
Alk-Exo,1,0,0,1
Hear44,1,1,1,1
Hear45,1,1,0,0
ChaB1,0,1,0,1
38.7 kDa,1,0,0,1
Ac146,1,0,0,1
Ac48,0,1,1,0
Ac53,0,0,1,1
Helicase-1,0,1,1,0
Helicase-2,0,0,0,1
v-Cath,1,1,0,0
TLP-20,1,0,0,0
DBP,1,0,0,1
Chitinase,1,0,0,0
gp37,1,0,0,0
p35,1,0,0,0
p47,1,0,0,0
fgf-3,1,0,1,0
Epap10,0,1,0,0
Epap40,1,1,0,1
Epap48,1,1,1,1
Epa49,0,1,0,0
Epap62,0,1,0,1
Epap71,1,1,0,0
Epap95,1,1,1,1
Spfr7,0,0,0,1
Spfr25,1,0,1,1
Spfr26,0,0,0,1
Spfr28,0,0,0,1
Spfr45,1,0,0,1
dUTPase,0,0,0,1
p13,1,0,0,1
Chtb-2a,1,0,0,1
Chtb-2b,1,0,0,1
Spfr80,0,0,0,1
BRO,1,1,1,1
Spfr100,0,0,0,1
Spfr127,0,0,0,1
Enhancin-1,0,0,0,1
Enhancin-2,0,0,0,1
Spfr143,0,0,0,1
Spfr145,0,0,0,1
Spfr151,0,0,0,1
Pira54,0,0,1,0
Clan17,1,0,0,0
Clan18,1,0,0,0
Clan20,1,0,0,0
Clan27,1,0,1,0
Clan37,1,0,0,0
Clan42,1,0,0,0
Clan79,1,0,0,0
Clan93,1,0,0,0
